token,no_reasons,categ_1
4b7aa8bc29a6c826fb30a19012719dfa,Still looking,undecided
adr1521158400473,need to figure out which bra I want to purchase,undecided
8663905652320b5f42a691ccdffec707,Not sure,undecided
ba82559fb44fe31bed96320f3aa6a3c0,Just hadn't decided on what to get yet,undecided
a4fca72ff5efb16fbf946fca7d5e0cfd,just browsing,undecided
76b0371229ebff6d3a26be28f32828d6,just looking,undecided
571d221c1f7f1279dbc3f708a391e592,Didn’t know for sure what I would like on my body.,undecided
7ef0a8f6afd97f2a2680c1280e8b3740,not finished still browsing,undecided
fa32d6efe5966b62872a87605937a4e6,i'm just getting started now....,undecided
adr152115840090,I was just looking,undecided
adr15214176009,"does not tell me estimated delivery date ",undecided
6adc2d75467c0ccbdad90c6ab6915921,Changed my mind,undecided
adr15214176009,just looking,undecided
202b827ad82bb7eb2c977bde1411f551,Decided not to buy,undecided
4e9ad5f4399eb43914358e3ef2bcfe39,Im looking still.,undecided
ios1521158400736,"I’m still undecided ",undecided
adr152461440037,still deciding,undecided
ios1521158400656,"I’m still waiting for my wife to determine what she wants..she said that she love everything, which is hard to tell ..",undecided
adr15231456003,Not done looking,undecided
6e16153c80736e17b08072ad3e7a5bc3,still looking,undecided
adr152115840029,still looking,undecided
8967c4e5cd91127d93d0a209483d082c,"Not enough time to think about your purchase b4 committing. ",undecided
acbc581575b8856b42c97209115994ff,"Didn’t finish looking as of yet ",undecided
adr1521158400261,couldn't decide,undecided
adr152297280014,I like everything I can't make up my mind and I'm on the bus believe me I would have probably spent about 200 bucks,undecided
21676ef0d3f073071a313e285b769ad6,Can’t figure out which one,undecided
ios15211584001386,Still selecting choice,undecided
302ea37369cab754485a4b2b8c1bc06e,not ready to buy,undecided
5b71d63121c7679d651d50f701530f33,looking at options,undecided
ios1521158400221,Looking for new bathing suits,undecided
0628b94fc2930a8bc74107865af30b0a,"Still deciding which color I want ",undecided
4b0ca004142c52a1c43ba63c72c1d9f6,So much to see and consider,undecided
72b50ce9d06f92bd71275050c95c2219,Have to decide,undecided
ios152280000060,"Haven’t finished browsing ",undecided
adr1521158400525,looking for sales,promotions
ios15211584001317,"No special coupons it was expired ",promotions
269f5de033449ece44069721cb75667d,regular prices no deals,promotions
adr15240960005,underwear options with out bra pairing are limited to 5/$20 pairs. I was hoping to purchase nicer pairs on their own,promotions
ios1521158400335,Looking for a sale on bathing suits! As a Canadian it costs me more to buy these items so if there is a code I can use I jump on the buy!,promotions
f83c5a599dbc49b35189f60bf90d5f3e,"Looking for additional sales/deals on sleepwear. Also, looking for sales on bra sets.",promotions
adr152409600010,"You are advertising a sale on Facebook that you are not offering online ",promotions
ios15240960003,I can’t afford more stuff rn🙁,promotions
ios152210880034,"You guys don’t have enough sales. ",promotions
58c22252ffdaeafbcadedca82d4fae45,Not interested in current deal,promotions
adr152340480022,Everything was above my price range in the deals that are available now.,promotions
ios15230592001," Everything on wishlist is still full price. ",promotions
adr152115840016,only a $5 discount on $130 order,promotions
adr152115840022,items I want were not on sale,promotions
adr15234048009,"no sales ",promotions
adr15234048007,"deals didn't for my wants ",promotions
ios152176320037,Advertised new line - $19.99. And the plus size was double the price ☹️,promotions
bacb5e3861d6f8d1f2d2266167ce946d,"Had no good deals, no clearance, no last chance I dont want to have to spend a hole 40-50 every month",promotions
ios152409600089,"I just feel like your sales or coupons aren’t ever that good, even as a VIP member I’m not tempted to buy often because I can find things at Victoria secret cheaper and just as good. I feel like you should do better deals especially for VIP",promotions
95bd8d7484e7267b94badb234e724876,there were no deals available for the products i was looking at. also did not have my size in the outfit i wanted and the other has been discontinued,promotions
4a6c7fbcbdc33b68b5ddda51a6d5b59e,I tried using a promo code and it wouldn't take it so I wasn't able to use it,promotions
ios1521158400696,"I received an email with a promo code. The email didn’t not state the details of the promo code. I logged into the app to try to use the code and only received error messages. ",promotions
ios152210880031,"I’m waiting on a sale on bra sets, preferably bogo",promotions
ios152409600051,"Not interested in current promotion ",promotions
ios1521158400654,Didn’t see any sales,promotions
ios15211584001326,"Just looking at what the deals were today and didn’t find anything that struck my fancy. 
",promotions
ca4ea54c58c3b76387b696d8b9495b43,Product was offered at $24.95 but had an offer with a code which reduced the price by $20 - at which time the price reverted to the original price of $39.95 - not exactly the bargain it sounded like,promotions
ios15211584001237,"There was no sale on what i am looking to purchase ",promotions
bbb47d3dd2ab6531fcdb49d43e5a6acc,Haven't been any sales besides the VIP membership offer.,promotions
adr1521158400218,I was distracted by the deals,promotions
2ff486e203110508d810d425c0a1fb37,did not see deal to my iking,promotions
b44a6e8d279ce277aa447fbfdbe90f8e,"Spin the wheel only gives me $5.00, I would like a free set instead cause than I would buy another set. ",promotions
612af9b7535ba5638e9ee25f71824f3c,Every day ou send me an “offer” and every day it is the same $5 off. Is insulting.,promotions
ios1521158400667,Because the cost of my first outfit went up like 10$. Made me really upset,promotions
adr1521158400388,No good deals,promotions
ios1521158400334,There wasnt a sale,promotions
278a8143bef17be6ef66dd0c85eb2957,"I've experienced issues that at checkout, it says i cannot combine deals, even though I don't have a previous coupon code in my cart.",promotions
5c2e45662b74af8ab38dea6f21e78d7c,seein sales,promotions
a4b855fd310914df2e4d6179e260a243,No deals I was interested in,promotions
a2b07b735ed81336076dd702f50c9af3,the sale I was looking for wasn't going at the time,promotions
ios1521158400799,"Not very many on sale ",promotions
adr15221088006,just not the deals I'm looking for today.,promotions
ios152280000028,"I was looking to see if there were any sales but didn’t find one. Also, looking to see if a set I’m interested in is in stock in my size, but it’s not. ",promotions
adr1521158400472,No sales going on,promotions
1dc362d97266f2bc2c2c4217074e8115,"Money is tight, wanted to find a lower price.",promotions
ios1521158400457,"Not enough selection on sale. ",promotions
ios1521158400473,"No sales ",promotions
ios1521158400255,No sales,promotions
02826f53c1f379451295f855cf127d6e,deals weren't great,promotions
9d7caa2f96c432871c094144891ac950,Promotion code no longer is valid,promotions
adr152115840015,didn't find a good deal,promotions
ios1521158400239,"There was not very many sales. Also, the price of active wear is higher now. ",promotions
adr1521158400194,there seems to be a very limited amount of the larger sizes bras and sets on sale normally only 1or2 options,promotions
adr1521158400461,"The voucher emailed to me keeps saying it's invalid today, even though it's today only. ",promotions
ios1521158400380,"Nil sales ",promotions
ios15240096004,Looking for clearance section,promotions
a569522ca878fa9ebde82a9a2e5b5139,"I couldn't find the products that were featured in the banner anywhere for sale on the website, particularly the dark green bra sets",promotions
adr15240096004,No sale on swimsuits,promotions
ios152254080027,I only got $5 out of the $20 possible discount on my two sets so it wasn’t worth it.,promotions
5475dc0ae712e8b03cb61d6bfc4c96f4,Looking for a good price on lingerize,promotions
aa6b757aebcbc8aa81031d3e9682e71f,just could not find items cheap enough,promotions
ios152409600033,"can’t see what i won unless i get something but i don’t wanna get something unless i know what i want ",promotions
182b8209716d99cf31df35afca67e835,"No coupon ",promotions
ios15211584001206,"Looking for the gem. Didn’t find it ",promotions
b2b872fde9408b6ad700aefb8fe8e302,There was deals available but not within my budget.,promotions
f4fa0de579cd2861777773185e33593e,My email said first set $14.95 but the cheapest set I say was $29.95.,promotions
6a077f40e35fc4a8ad00a4d7ad202abc,Didn't find any deals.,promotions
ios152280000033,"Looking for a sale ",promotions
ios15211584001350,"There wasn’t any good sales on anything I was looking at ",promotions
adr152115840040,no knew sales,promotions
adr152409600025,no special today,promotions
ios1521158400396,I was putting the code cause I found the gem but it said the code isn't valid???,promotions
ios152409600016,"Hoping for a deal or sale
",promotions
adr1521158400181,I really didn't see any good deals in my size,promotions
ios15211584001037,"Sale item was not of interest to me. ",promotions
ios152461440037,The promo code is not working for the bra I wanted.,promotions
ios15211584001126,"Seems like the deals are less and less. No full kits in active wear.  Bummer. Not the same value of membership. Need to wait two months to get something I want. May Cancel soon. ",promotions
c459084f5dda44166c8333260f73651c,"Two specific items I really want and thought they were part of the BOGO but they weren't  ",promotions
adr152461440027,because I was at work and needed more time to shop the great bogo sale,promotions
ios152159040092,"The current promotion did not sway me into purchasing. ",promotions
ios152115840060,"Perhaps a military discount ",promotions
176aca9aa361249e16d713f9b9033dfc,"I received a code in my email but the code only was for $5 off, not enough of an incentive to make the purchase",promotions
ios152409600028,"Everything is way to expensive you don’t get a deal what do ever ",promotions
ios1521158400373,Ivery few items on sale except for first time buyers. Plus my account doesn't show all of my purchases. When you do have a good sale your sizes are very very limited with very few sizes available,promotions
adr152115840028,Deals weren't good enough,promotions
ios15211584001052,"Not any deals in what I'm looking for ",promotions
f38c71944e6c90e7cd870b326f297c28,Couldn't find any deals,promotions
ios1521158400187,"There’s not a separate clearance section ",promotions
ios15225408003,"The sale was for a small price off and sometimes I can’t afford such steep charges ",promotions
a0adec81df18495f7622584f2db37c0a,not enough sales,promotions
f43fd8ad21c3b9bdc43de45db576f18c,No order information on my account,no_category
0cad6e82a44a09aeca2ed0f05f2cefb0,lack of appropriate information,no_category
cd6d0f2272f459d2496e59fcb039eedd,dfxg,no_category
ea113527db68b8a33231bb2235a1da8b,I was charged too much. I have had two transaction posted to my account,no_category
bb2e40a89e6b42b427b613f993bf2dc1,just ran out of time had to stop shopping,no_category
bba7b1900c8afc9fa5bb77a95a2bf066,too late,no_category
ios152461440017,"To get my order cancelled n my money refunded ",no_category
d180ed73965f7a7337f5c7bb81a6a5e9,hard to find,no_category
ios1521158400504,"I ran out of time. I’ll try again later. ",no_category
cc89402b43a548922750e1a08bd88e8b,"I could no see if you do or not. ",no_category
ios15234912006,Time... other issues,no_category
ios152159040084,No money to spare,no_category
adr152176320017,I love everything and couldn't pick!,no_category
d9e319aacb381f32d72f5830f299aa95,i was n,no_category
ios152409600013,"Just got on ",no_category
ios152409600013,"Almost 2 weeks and my order still isn't in.... I need to purchase more pieces for my trip which is in 2 weeks but I'm scared I won't get it in time ",no_category
ios15245280006,No,no_category
ios152115840022,"Why can’t i cancel this order without calling 10 days processing is kinda ridiculous ",no_category
adr1521158400530,not sure why my order food not go through,no_category
ios1521158400433,"No tracking information ",no_category
adr152305920012,never received the information,no_category
1942bd125080a4cf9f9845376f850727,Looking to see what the backs of the suits look like.  Would like also a back picture.,no_category
e166f62229aba44882bfd7fb1c2dd41d,needed to check on returns ...ect,no_category
adr152150400021,look at #2,no_category
adr152202240016,not enough time,no_category
1bceaabcb922c14285345fd6a6d59ba8,Time,no_category
ios152245440015,"Suck it ",no_category
ios15221088002,"No tracking to Canada I wish you would fix that. It would solve so many problems/complaints/loss of product ",no_category
0069720a9be9a972a64915b13432c006,I was at work,no_category
266d86804f5565cbb3a7b1a5935831c5,Keep getting the run around,no_category
ios1521158400852,Na,no_category
bbcb87e47221b8a061cbfe3543b49c0b,Have I ordered this month,no_category
ios152271360019,My account information is not up to date,no_category
ios152228160025,I wanted to continued shopping and add more items to my cart.,no_category
adr152409600019,"no real reason ",no_category
adr15234912001,"my delivery address is incorrect but it might be too late to fix. it would be great if there was a live help option in the app, or maybe more obvious if it is already there and I couldn't find it. ",no_category
ef453768ff7d3be878a4f780e2b3e4c9,Had something else interrupt me,no_category
adr152115840011,"there's no tracking information about my order ",no_category
ios1521158400485,"Same as before ",no_category
ca9dfb36743f5984d19bcbb80b138f90,"haven't finished ",no_category
205938c463e60482d1a54c0453acb441,Unresolved issue,no_category
0878dec137ec419051a0b650c225e413,"Started doing something different ",no_category
068e756a7d6fbd4c27cbdeb81a7826b6,I do some browsing first- then will skip,no_category
adr152210880018,no information available,no_category
ios1521158400571,meh,no_category
adr15214176008,"have not finish looking ",no_category
ios152167680028,Unknown sizes,no_category
8bc135e34820dbe79c7ea0b309d910a4,Not enogh time in my schedule to view your inventory,no_category
adr152202240025,por que mi ultima compra ya se tardó maa de lo acordado y aparte no siempre hay de todas laa talla en todos los modelos ( brasieres),no_category
ios15211584001197,I don't know why I wasn't able to,no_category
adr152202240029,still searching for bra and panty set,no_category
ios152254080025,"Need more time to busy right now to concentrate ",no_category
adr152141760030,looking at swim suits,no_category
4482a82edbdfad93cb7bba30b8aa2bfd,want to see more,no_category
ios15245280004,I don’t wanna mention,no_category
cbe3ea3dc2e93013799cdc452c887fcb,Distracted,no_category
ios15239232001,"Because fuck you. I hate this app. ",no_category
adr152228160011,no money,no_category
adr15224544002,personal...,no_category
44401bb171615f9b045d3c1253fa812d,"I was looking to replace a strapless bra.  I'm a 40DD and there was only 1 style offered in my size.  I already own it and find it very uncomfortable, so there was nothing for me to buy.",no_category
eed9f29497818cc67e4b2b07808186b4,"styles dont dont load from the models ",no_category
4e58b9d70d7a0c1f5cf27faf92f12f96,I ran out of time before I needed to leave for work,no_category
adr15214176008,would not connect,no_category
ios152409600013,"I’ve emailed several times asking why am I only being credited $15, if $39.95 was taken out of my account and you all emailed me stating the Axa size is not in stock! So where’s my $39.95? Why do I not see a credit of $39.95, but I only see a credit of $15! You can guarantee, not only will I be going to the better business bureau but I will blast adore me on social media. Being that I’ve been a customer l, I should at least get the respect of getting a reply!",no_category
adr15211584006,lost internet,no_category
ios15227136008,"Wouldn’t load ",no_category
41aad9ed16099a9b7466e55bd2530d1d,"I do not get paid until Friday. ",no_category
31e6d9a59a0480b7f14a846d7515b3b5,no comment,no_category
ios152461440050,"Sent an email about my experience. ",no_category
adr152159040018,Don't get paid until tomorrow.,no_category
adr1521158400176,"Ran out of time ",no_category
667e1431dd4a5a2c6bcc01bafd9f17a1,"Because there wasn't a ""No I get problem solved.""",no_category
ec805fbcaf98f2319892b45d4b47114e,Not enough time,no_category
ios1521158400406,"Got distracted by other notifications on my phone ",no_category
ios15211584001272,Not enough time.,no_category
752c258d080bd419d9733e2f210e7fd6,Nothing to find,no_category
936485300d23167140981dbb6984be90,School,no_category
ios152262720068,"I don’t know. It didn’t come up ",no_category
adr152409600027,"Too busy, not your fault",no_category
adr1521158400453,just looking at product - everything ok - love all about Adore Me!,no_category
ios15211584001490,No gust,no_category
adr152219520010,"could not find where to look ",no_category
1ef7b0cc81749fdf8c77c245a293110e,did not get to it,no_category
adr152271360014,no money,no_category
6fe7c8406866be72f3cee848e12b6737,"time limit. ",no_category
d2295da615e8eacc1638580852803004,would like to see how ligers looks natural,no_category
adfcfc24ba089094ab1245be4c42c2cd,"No information is available ",no_category
ios1521158400129,"wouldnt accept codr
 ",no_category
876ef7ac88672881af31e7875de455a4,"Well, I got sent stuff that was even close to my style. Everything was so nice, but didn't get to get what I really needed. Was trying to find out how to work your site.",no_category
138ce9498f365fd1555da1ca4a3a053a,"At work ",no_category
611fc0c75f6a73192146fde3ac78fc1a,"Loss of signal. ",no_category
f112d7231a626cb4d916bf01a153fa9d,I got distracted. Had other things to do.,no_category
b02c81f343befc8b3de0708fc2e93544,Got email,no_category
ios1521158400636,"No tracking data available as the address on my order is incomplete. Not 100% it’s going to make it to me with no house number listed. ",no_category
ios1521158400585,$$$,no_category
80c9bb0c57eb6cd4090e8b4c5651f5bd,"Didn't check yet. ",no_category
cdf6e810959ed9c9171b61c06802eb9d,Not quick enough access,no_category
6d4a9ea96de5858b840ef1fba0bdb239,run out of time,no_category
90b4008f10eb92ceadf1bf27caf381c0,I already purchased something,no_category
ios15240096001,"I didn’t know I had to do it from a desk top ",no_category
2af03bafa3b4f8d2fe54ad8bda09d1f3,"I want to see more, but I don't have the time.",no_category
ios15211584001091,"Just wanted to look right now ",no_category
c65d1071cd0eaf4d1dcee6e21182c85c,Other reasons,no_category
ios152461440016,"Your moving ",no_category
5c82367a7b6218075cd10203f75a62bf,I just logged on,no_category
c35e89dad97348b58c925343201d768c,seeing what you had,no_category
547eddb836cc0dcd7e69234533ee4567,Idk,no_category
61207c98da83ae593a5aae65626d44a0,"leaving work, need more time to browse and check sizes etc",no_category
adr1521158400521,It has been 9 days and my order hasn't even been processed!,order delays
3252c9a24620f9de9108d65698d3924a,I have unfortunately been stuck in processing for the past 11 days...,order delays
ios152202240032,Still waiting on a order from feb.,order delays
ios152409600085,"I ordered 3 bra and panty sets on April 2nd . I have still yet to receive my order . I am getting super frustrated because I need those before a certain date . A put a lot of money into this vip . This shouldn’t be happening. ",order delays
74942448973ce516a7bf449ad3480e0c,ITS STILL PROCESSING! PLACED THE ORDER WEEKS AGO,order delays
adr1521158400306,order still says processing,order delays
ios152202240050,"I placed an order over a week ago... still waiting for a least a tracking number... nothing... still processing a week later.

I’m truly skeptical on placing a new order.",order delays
adr152340480019,"I've been waiting almost a month for my order to be processed and delivered. The 12th of April will be one month since I've placed my order, and I check every day on the Status of it, and nothing has been changed, it still says processing. Just hope it sends out soon, this is the first time I have ordered from you and would love to order more, but would love to have these first. Thank you",order delays
